work_id,title,original_filename,lemmatized_filename,original_characters,original_estimated_sentences,original_tokens,original_unique_wordforms,lemmatized_characters,lemmatized_tokens,unique_lemmas
1,Панихида,V401_Panikhida.txt,,9559,146,1414,829,0,0,0
2,Глупый француз,V402_Glupyi_francuz.txt,,5847,132,896,499,0,0,0
3,Блины,V403_Bliny.txt,,7048,83,1063,613,0,0,0
4,О бренности (Масленичная тема для проповеди),V404_O_brennosti_(Ma.txt,,1713,23,246,193,0,0,0
5,Персона,V405_Persona.txt,,6384,95,974,566,0,0,0
6,К сведению мужей (Научная статья),V406_K_svedeniu_muzh.txt,,8085,135,1241,711,0,0,0
7,Рыбье дело (Густой трактат по жидкому вопросу),V407_Rybe_delo_(Gust.txt,,5255,75,776,521,0,0,0
8,Иван Матвеич,V408_Ivan_Matveich.txt,,9765,216,1455,794,0,0,0
9,Ведьма,V409_Vedma.txt,,21850,414,3401,1621,0,0,0
10,Первый дебют (Рассказ),V410_Pervyi_debut_(R.txt,,10466,245,1566,891,0,0,0
11,Симулянты,V411_Simulyanty.txt,,6616,109,998,603,0,0,0
12,У телефона,V412_U_telefona.txt,,3572,120,511,276,0,0,0
13,Детвора,V413_Detvora.txt,,9439,189,1439,784,0,0,0
14,Налим,V414_Nalim.txt,,8484,233,1274,708,0,0,0
15,Открытие,V415_Otkrytie.txt,,6455,100,970,597,0,0,0
16,Самый большой город,V416_Samyi_bolshoi_g.txt,,1161,23,173,116,0,0,0
17,Из воспоминаний идеалиста,V417_Iz_vospominanii.txt,,6983,134,1110,624,0,0,0
18,Тоска,V418_Toska.txt,,9455,219,1442,807,0,0,0
19,Переполох,V419_Perepolokh.txt,,13142,250,2013,991,0,0,0
20,В аптеке,V420_V_apteke.txt,,7256,107,1063,635,0,0,0
21,Беседа пьяного с трезвым чёртом,V421_Beseda_pyanogo_.txt,,3531,68,522,358,0,0,0
22,Лошадиная фамилия,V422_Loshadinaya_fam.txt,,6289,180,908,530,0,0,0
23,Два газетчика (Неправдоподобный рассказ),V423_Dva_gazetchika_.txt,,5509,105,844,491,0,0,0
24,На чужбине,V424_Na_chuzhbine.txt,,6900,143,1057,623,0,0,0
25,Психопаты (Сценка),V425_Psikhopaty_(Sce.txt,,6965,136,1067,595,0,0,0
26,Ряженые,V426_Ryazhenye.txt,,4853,71,728,487,0,0,0
27,Сапоги,V427_Sapogi.txt,,7262,152,1109,585,0,0,0
28,Не судьба!,V428_Ne_sudba.txt,,7431,154,1129,640,0,0,0
29,Анюта,V429_Anuta.txt,,7470,138,1136,640,0,0,0
30,Необходимое предисловие,V430_Neobkhodimoe_pr.txt,,1275,30,191,134,0,0,0
31,Нечто серьезное,V431_Nechto_sereznoe.txt,,1545,12,211,160,0,0,0
32,Актерская гибель,V432_Akterskaya_gibe.txt,,10796,237,1669,891,0,0,0
33,В вагоне (Разговорная перестрелка),V433_V_vagone_(Razgo.txt,,3540,72,505,354,0,0,0
34,Мыслитель,V434_Myslitel.txt,,5932,130,916,542,0,0,0
35,Заблудшие,V435_Zabludshie.txt,,6980,172,1068,613,0,0,0
36,Егерь,V436_Eger.txt,,8007,166,1252,689,0,0,0
37,Злоумышленник,V437_Zloumyshlennik.txt,,6758,157,1064,557,0,0,0
