word,frequency
это,558
всё,298
говорит,170
тебе,163
глаза,151
человек,132
ежели,128
дело,126
нужно,112
хо,95
чёрт,92
словно,92
лицо,89
сказал,88
брат,85
время,82
знает,77
глазами,77
стало,72
голову,69
бог,67
ваше,65
жена,64
стал,64
пять,64
день,63
лет,62
свое,60
всем,60
руки,60
иван,59
знаю,58
очень,58
ха,58
знаешь,57
могу,57
десять,57
рублей,57
деньги,55
мало,55
около,54
говорю,53
начинает,52
своего,52
стоит,52
своей,52
нешто,52
отец,51
понимаю,50
свои,50
подумал,50
глядит,49
видит,48
взял,48
такое,48
богу,48
жизнь,48
дома,48
знаете,48
сидит,47
какие,47
сказать,47
делать,46
нам,46
глядя,46
слова,45
руками,44
люди,43
давно,43
жить,43
думает,43
мои,42
сюда,42
эта,42
назад,41
спать,41
ах,41
говорил,41
кажется,40
такая,40
место,40
спросил,40
одного,40
нечего,40
долго,40
такие,39
который,39
голове,39
писать,39
почему,39
господин,39
людей,39
хе,39
тово,39
тысяч,39
идет,38
сколько,38
оно,38
немного,38
думал,38
спрашивает,37
доктор,37
рукой,37
вышел,37
этак,36
свой,36
сто,36
ка,36
отчего,36
ночь,36
денег,35
начал,35
дай,35
значит,35
сами,35
две,35
год,35
ко,35
гриша,35
кого,34
бормочет,34
вами,34
слово,34
гм,34
чай,34
одной,34
г,34
матвеич,34
дела,33
муж,33
ноги,33
которые,33
сапоги,33
никто,32
стола,32
взять,32
друг,32
одно,32
завтра,32
этих,31
сегодня,31
пить,31
час,31
голосом,31
домой,31
глаз,31
минуту,31
секретарь,31
голос,31
мной,31
должен,30
мое,30
братец,30
человека,30
говорят,30
большой,30
пока,30
таким,30
моей,30
иона,30
блины,30
знать,29
жизни,29
говорить,29
нему,29
вздохнул,29
кроме,29
думаю,29
пелагея,29
савелий,29
дьячиха,29
должно,28
пошел,28
лицом,28
ради,28
прошу,28
вместе,28
стол,28
оба,28
продолжал,28
одну,28
точно,28
будь,28
головой,28
лошадь,28
весь,28
знал,28
собой,28
нелли,28
одна,28
медленно,27
какое,27
просто,27
минут,27
молодой,27
народ,27
господи,27
места,27
своих,27
сел,27
быстро,27
таки,27
буду,27
мысли,27
часа,27
сын,27
вероятно,26
хочешь,26
хотите,26
господа,26
возьми,26
случае,26
трудно,26
руку,26
комнату,26
машенька,26
ехать,26
егор,26
выражение,25
понимаешь,25
скоро,25
ужасно,25
первый,25
лица,25
ваши,25
своими,25
публика,25
дня,25
страшно,25
андрей,25
обыкновенно,24
каждый,24
извините,24
жены,24
нем,24
город,24
тому,24
голубчик,24
проч,24
дам,24
мужа,24
дверь,24
боже,24
самый,24
сережка,24
могут,23
таком,23
пусть,23
сначала,23
продолжает,23
