filename|normal|start|end|first|middle|last
V401_Panikhida.txt|Андрей Андреич|167|181|Андрей||Андреич
V401_Panikhida.txt|Матвей|101|107|Матвей||
V401_Panikhida.txt|Лопухов|190|198|||Лопухов
V401_Panikhida.txt|Григорий|413|421|Григорий||
V401_Panikhida.txt|Андрей Андреич|0|14|Андрей||Андреич
V401_Panikhida.txt|Григорий|80|88|Григорий||
V401_Panikhida.txt|Лавочник|0|8|||Лавочник
V401_Panikhida.txt|Григорий|51|59|Григорий||
V401_Panikhida.txt|Андрей Андреич|2|16|Андрей||Андреич
V401_Panikhida.txt|Григорий|7|15|Григорий||
V401_Panikhida.txt|Андрей Андреич|84|101|Андрей||Андреич
V401_Panikhida.txt|Лавочник|0|8|||Лавочник
V401_Panikhida.txt|Григорий|90|98|Григорий||
V401_Panikhida.txt|Андрей Андреич|30|44|Андрей||Андреич
V401_Panikhida.txt|Григорий|34|42|Григорий||
V401_Panikhida.txt|Лавочник|0|8|||Лавочник
V401_Panikhida.txt|Григорий|51|59|Григорий||
V401_Panikhida.txt|Андрей|299|305|Андрей||
V401_Panikhida.txt|Андрей Андреич|74|88|Андрей||Андреич
V401_Panikhida.txt|Андрей Андреич|106|121|Андрей||Андреич
V401_Panikhida.txt|Григорий|106|114|Григорий||
V401_Panikhida.txt|Иоанн|244|250|Иоанн||
V401_Panikhida.txt|Пелагеи|265|272|Пелагеи||
V401_Panikhida.txt|Егор-воин|275|286|Егор||
V401_Panikhida.txt|Павел|299|304|Павел||
V401_Panikhida.txt|Григорий|33|41|Григорий||
V401_Panikhida.txt|Андрей Андреич|0|14|Андрей||Андреич
V401_Panikhida.txt|Матвей|132|138|Матвей||
V401_Panikhida.txt|Андрей Андреич|85|100|Андрей||Андреич
V401_Panikhida.txt|Матвей|114|120|Матвей||
V401_Panikhida.txt|Митька|167|173|Митька||
V401_Panikhida.txt|Дьячок|195|201|||Дьячок
V401_Panikhida.txt|Машутку|367|374|Машутку||
V401_Panikhida.txt|Чечевица Исава|1364|1378|Исава||Чечевица
V401_Panikhida.txt|Содом|1387|1393|||Содом
V401_Panikhida.txt|Машутка|79|86|Машутка||
V401_Panikhida.txt|Андрей Андреич|66|80|Андрей||Андреич
V401_Panikhida.txt|Андрей Андреич|44|58|Андрей||Андреич
V401_Panikhida.txt|Андрей Андреич|0|14|Андрей||Андреич
V401_Panikhida.txt|Мария|63|68|Мария||
V401_Panikhida.txt|Григорий|145|153|Григорий||
V401_Panikhida.txt|Митька|255|261|Митька||
V402_Glupyi_francuz.txt|Гинц|23|27|||Гинц
V402_Glupyi_francuz.txt|Генри Пуркуа|30|42|Генри||Пуркуа
V402_Glupyi_francuz.txt|Тестова|72|79|||Тестова
V402_Glupyi_francuz.txt|Франсуа|175|182|Франсуа||
V402_Glupyi_francuz.txt|Подашь|2|8|||Подашь
V402_Glupyi_francuz.txt|Не-ет|2|7|||Не
V402_Glupyi_francuz.txt|Франсуа|141|148|Франсуа||
V403_Bliny.txt|Егорку|226|232|Егорку||
V403_Bliny.txt|Матрена|24|31|Матрена||
V403_Bliny.txt|Матрену|48|55|Матрену||
V403_Bliny.txt|Матрена|2|9|Матрена||
V403_Bliny.txt|Егорк|122|128|Егорк||
V404_O_brennosti_(Ma.txt|Семен Петрович Подтыкин|19|42|Семен|Петрович|Подтыкин
V404_O_brennosti_(Ma.txt|Катя|71|75|Катя||
V404_O_brennosti_(Ma.txt|Семен Петрович|49|63|Семен||Петрович
V404_O_brennosti_(Ma.txt|Засим|313|318|||Засим
V404_O_brennosti_(Ma.txt|Подтыкин|535|543|||Подтыкин
V405_Persona.txt|Миша Набалдашников|41|59|Миша||Набалдашников
V405_Persona.txt|Иван Андреич|449|463|Иван||Андреич
V405_Persona.txt|Нил Кузьмич|60|73|Нил||Кузьмич
V405_Persona.txt|Миша|0|4|Миша||
V405_Persona.txt|Миша|202|206|Миша||
V405_Persona.txt|Нил Кузьмич|337|350|Нил||Кузьмич
V405_Persona.txt|Миша|671|675|Миша||
V405_Persona.txt|Миша|847|851|Миша||
V405_Persona.txt|Нил Кузьмич|985|996|Нил||Кузьмич
V405_Persona.txt|Миша|42|46|Миша||
V405_Persona.txt|Миша|0|4|Миша||
V405_Persona.txt|Кирилл Никанорович Набалдашникова|8|43|Кирилл|Никанорович|Набалдашникова
V405_Persona.txt|Наталия Ивановна|53|69|Наталия||Ивановна
V405_Persona.txt|Подгойский|113|124|||Подгойский
V405_Persona.txt|Миша|78|82|Миша||
V405_Persona.txt|Миша|126|130|Миша||
V405_Persona.txt|Михаил|128|134|Михаил||
V405_Persona.txt|Подгойский|219|229|||Подгойский
V405_Persona.txt|Исписал Миша|0|12|Миша||Исписал
V405_Persona.txt|Миша|188|192|Миша||
V405_Persona.txt|Миша|178|182|Миша||
V405_Persona.txt|Рыжий|0|5|||Рыжий
V405_Persona.txt|Виноват-с|2|11|||с
V405_Persona.txt|Миша|29|33|Миша||
V405_Persona.txt|Миша|25|29|Миша||
V406_K_svedeniu_muzh.txt|Нулин|17|22|Нулин||
V406_K_svedeniu_muzh.txt|Петр Иваныч|10|23|Петр||Иваныч
V406_K_svedeniu_muzh.txt|Петр Иваныч|16|27|Петр||Иваныч
V406_K_svedeniu_muzh.txt|Видал|2|7|||Видал
V406_K_svedeniu_muzh.txt|Петр Иваныч|17|30|Петр||Иваныч
V406_K_svedeniu_muzh.txt|Петр Иваныч|20|33|Петр||Иваныч
V407_Rybe_delo_(Gust.txt|Рыбье|0|5|||Рыбье
V407_Rybe_delo_(Gust.txt|Щука|3|7|||Щука
V407_Rybe_delo_(Gust.txt|Сыта|285|289|||Сыта
V407_Rybe_delo_(Gust.txt|Окунь|3|8|||Окунь
V407_Rybe_delo_(Gust.txt|Ерш|3|6|||Ерш
V407_Rybe_delo_(Gust.txt|Карась|3|9|||Карась
V407_Rybe_delo_(Gust.txt|Лещ|3|6|||Лещ
V408_Ivan_Matveich.txt|Иван Матвеич|0|12|Иван||Матвеич
V408_Ivan_Matveich.txt|Катя|12|16|Катя||
V408_Ivan_Matveich.txt|Петр Данилыч|67|81|Петр||Данилыч
V408_Ivan_Matveich.txt|Иван Матвеич|164|176|Иван||Матвеич
